province;red;green;blue;x;y
107;17;242;124;Prov107;x
108;203;174;3;Prov108;x
109;31;251;23;Prov109;x
110;126;27;25;Prov110;x
111;115;105;185;Prov111;x
112;235;84;22;Prov112;x
113;65;116;39;Prov113;x
114;85;99;77;Prov114;x
115;111;62;208;Prov115;x
116;216;100;128;Prov116;x
117;173;36;61;Prov117;x
118;119;1;155;Prov118;x
119;91;36;184;Prov119;x
120;193;18;171;Prov120;x
121;179;110;111;Prov121;x
122;225;81;231;Prov122;x
123;185;211;162;Prov123;x
124;180;92;12;Prov124;x
125;195;5;163;Prov125;x
126;151;116;87;Prov126;x
127;245;172;22;Prov127;x
128;164;59;61;Prov128;x
129;179;109;139;Prov129;x
130;176;251;161;Prov130;x
131;91;242;215;Prov131;x
132;216;20;169;Prov132;x
133;159;8;12;Prov133;x
134;157;153;108;Prov134;x
135;74;242;198;Prov135;x
136;153;151;99;Prov136;x
137;178;226;104;Prov137;x
138;194;190;139;Prov138;x
139;3;169;239;Prov139;x
140;121;224;81;Prov140;x
141;72;74;137;Prov141;x
142;175;29;143;Prov142;x
143;139;83;82;Prov143;x
144;116;174;194;Prov144;x
145;1;112;167;Prov145;x
146;134;42;54;Prov146;x
147;205;33;137;Prov147;x
148;107;13;8;Prov148;x
149;221;151;110;Prov149;x
150;208;43;144;Prov150;x
151;107;36;28;Prov151;x
152;218;188;124;Prov152;x
153;120;194;95;Prov153;x
154;253;118;161;Prov154;x
155;166;45;209;Prov155;x
156;48;204;117;Prov156;x
157;164;143;206;Prov157;x
158;172;16;8;Prov158;x
159;116;168;109;Prov159;x
160;106;195;182;Prov160;x
161;133;193;56;Prov161;x
162;221;159;141;Prov162;x
163;254;40;118;Prov163;x
164;230;75;139;Prov164;x
165;14;182;163;Prov165;x
166;167;55;39;Prov166;x
167;146;92;180;Prov167;x
168;70;201;72;Prov168;x
169;21;138;125;Prov169;x
170;28;24;87;Prov170;x
171;6;112;6;Prov171;x
172;161;240;166;Prov172;x
173;201;136;102;Prov173;x
174;94;118;110;Prov174;x
175;10;255;73;Prov175;x
176;3;29;72;Prov176;x
177;104;79;57;Prov177;x
178;193;39;255;Prov178;x
179;144;77;56;Prov179;x
180;237;199;33;Prov180;x
181;82;192;16;Prov181;x
182;11;31;83;Prov182;x
183;226;34;99;Prov183;x
184;193;66;171;Prov184;x
185;245;168;58;Prov185;x
186;217;81;162;Prov186;x
187;73;218;195;Prov187;x
188;45;230;67;Prov188;x
189;100;158;135;Prov189;x
190;223;112;22;Prov190;x
191;9;156;43;Prov191;x
192;29;244;96;Prov192;x
193;71;144;81;Prov193;x
194;194;104;183;Prov194;x
195;121;38;84;Prov195;x
196;45;41;48;Prov196;x
197;224;229;10;Prov197;x
198;55;145;168;Prov198;x
199;185;40;153;Prov199;x
200;151;34;18;Prov200;x
201;122;202;151;Prov201;x
202;5;96;8;Prov202;x
203;217;230;245;Prov203;x
204;173;96;90;Prov204;x
205;252;166;40;Prov205;x
206;209;202;185;Prov206;x
207;16;197;75;Prov207;x
208;247;28;192;Prov208;x
209;27;203;12;Prov209;x
210;15;107;125;Prov210;x
211;52;8;200;Prov211;x
212;181;29;147;Prov212;x
213;85;182;67;Prov213;x
214;217;165;119;Prov214;x
215;134;74;113;Prov215;x
216;187;120;243;Prov216;x
217;204;138;41;Prov217;x
218;30;13;245;Prov218;x
219;248;215;250;Prov219;x
220;167;37;117;Prov220;x
221;201;116;1;Prov221;x
222;182;214;186;Prov222;x
223;252;171;58;Prov223;x
224;204;155;150;Prov224;x
225;26;230;155;Prov225;x
226;138;67;169;Prov226;x
227;92;239;101;Prov227;x
228;40;19;155;Prov228;x
229;156;151;156;Prov229;x
230;4;84;55;Prov230;x
231;216;107;124;Prov231;x
232;185;180;186;Prov232;x
233;128;82;239;Prov233;x
234;23;103;120;Prov234;x
235;113;208;38;Prov235;x
236;55;165;125;Prov236;x
237;89;160;245;Prov237;x
238;217;193;78;Prov238;x
239;251;65;13;Prov239;x
240;149;215;42;Prov240;x
241;56;247;52;Prov241;x
242;147;15;4;Prov242;x
243;170;219;127;Prov243;x
244;34;93;195;Prov244;x
245;93;150;153;Prov245;x
246;224;223;220;Prov246;x
247;38;69;75;Prov247;x
248;65;122;10;Prov248;x
249;6;144;43;Prov249;x
250;54;148;137;Prov250;x
251;151;174;239;Prov251;x
252;187;34;174;Prov252;x
253;13;129;242;Prov253;x
254;99;86;8;Prov254;x
255;48;59;180;Prov255;x
256;223;14;62;Prov256;x
257;45;51;42;Prov257;x
258;250;236;114;Prov258;x
259;222;234;170;Prov259;x
260;115;215;253;Prov260;x
261;208;176;55;Prov261;x
262;12;104;123;Prov262;x
263;132;54;43;Prov263;x
264;238;157;12;Prov264;x
265;105;42;87;Prov265;x
266;227;31;219;Prov266;x
267;78;16;229;Prov267;x
268;46;245;210;Prov268;x
269;210;147;92;Prov269;x
270;138;245;18;Prov270;x
271;69;146;10;Prov271;x
272;62;11;124;Prov272;x
273;117;255;174;Prov273;x
274;226;129;77;Prov274;x
275;227;226;228;Prov275;x
276;127;246;249;Prov276;x
277;26;92;114;Prov277;x
278;12;204;177;Prov278;x
279;58;161;6;Prov279;x
280;183;54;174;Prov280;x
281;201;158;7;Prov281;x
282;84;89;169;Prov282;x
283;81;15;228;Prov283;x
284;34;229;69;Prov284;x
285;56;63;134;Prov285;x
286;145;54;30;Prov286;x
287;208;210;231;Prov287;x
288;142;58;147;Prov288;x
289;110;159;103;Prov289;x
290;105;168;5;Prov290;x
291;207;189;145;Prov291;x
292;60;247;2;Prov292;x
293;210;12;95;Prov293;x
294;205;69;9;Prov294;x
295;239;235;243;Prov295;x
296;39;86;247;Prov296;x
297;186;108;232;Prov297;x
298;237;205;84;Prov298;x
299;87;158;168;Prov299;x
300;233;117;177;Prov300;x
301;249;103;236;Prov301;x
302;128;199;132;Prov302;x
303;76;17;195;Prov303;x
304;137;252;121;Prov304;x
305;197;128;152;Prov305;x
306;31;235;220;Prov306;x
307;216;101;89;Prov307;x
308;139;171;170;Prov308;x
309;207;234;71;Prov309;x
310;140;60;7;Prov310;x
311;116;205;148;Prov311;x
312;171;115;230;Prov312;x
313;3;145;198;Prov313;x
314;233;116;198;Prov314;x
315;18;210;229;Prov315;x
316;50;158;161;Prov316;x
317;8;191;102;Prov317;x
318;83;78;126;Prov318;x
319;222;85;242;Prov319;x
320;125;34;171;Prov320;x
321;6;33;178;Prov321;x
322;234;240;187;Prov322;x
323;132;211;96;Prov323;x
324;15;93;148;Prov324;x
325;228;116;119;Prov325;x
326;40;67;236;Prov326;x
327;106;87;240;Prov327;x
328;74;190;116;Prov328;x
329;115;52;15;Prov329;x
330;76;28;25;Prov330;x
331;4;103;162;Prov331;x
332;133;89;183;Prov332;x
333;98;94;11;Prov333;x
334;21;62;43;Prov334;x
335;21;40;144;Prov335;x
336;99;119;96;Prov336;x
337;248;128;106;Prov337;x
338;168;94;74;Prov338;x
339;116;20;61;Prov339;x
340;46;98;77;Prov340;x
341;175;98;68;Prov341;x
342;164;232;107;Prov342;x
343;216;49;4;Prov343;x
344;123;151;179;Prov344;x
345;87;177;193;Prov345;x
346;224;221;203;Prov346;x
347;102;164;228;Prov347;x
348;191;20;242;Prov348;x
349;245;20;59;Prov349;x
350;231;17;59;Prov350;x
351;51;20;108;Prov351;x
352;41;106;154;Prov352;x
353;252;251;193;Prov353;x
354;160;75;139;Prov354;x
355;152;38;17;Prov355;x
356;243;59;17;Prov356;x
357;185;8;30;Prov357;x
358;221;104;182;Prov358;x
359;139;245;7;Prov359;x
360;164;234;81;Prov360;x
361;184;66;148;Prov361;x
362;252;251;46;Prov362;x
363;214;137;94;Prov363;x
364;23;252;220;Prov364;x
365;238;100;177;Prov365;x
366;30;56;253;Prov366;x
367;231;85;145;Prov367;x
368;254;32;108;Prov368;x
369;123;152;215;Prov369;x
370;41;216;62;Prov370;x
371;25;247;73;Prov371;x
372;106;165;222;Prov372;x
373;192;231;158;Prov373;x
374;190;63;233;Prov374;x
375;113;123;177;Prov375;x
376;55;31;90;Prov376;x
377;79;12;106;Prov377;x
378;100;34;215;Prov378;x
379;181;159;32;Prov379;x
380;91;49;8;Prov380;x
381;44;139;173;Prov381;x
382;236;220;147;Prov382;x
383;68;143;152;Prov383;x
384;31;12;215;Prov384;x
385;113;175;156;Prov385;x
386;124;119;97;Prov386;x
387;219;81;240;Prov387;x
388;130;112;218;Prov388;x
389;82;28;151;Prov389;x
390;61;80;132;Prov390;x
391;36;71;155;Prov391;x
392;163;229;229;Prov392;x
393;145;189;166;Prov393;x
394;153;28;3;Prov394;x
395;82;106;171;Prov395;x
396;129;129;252;Prov396;x
397;25;1;167;Prov397;x
398;121;164;169;Prov398;x
399;56;9;177;Prov399;x
400;61;84;200;Prov400;x
401;240;240;189;Prov401;x
402;134;159;41;Prov402;x
403;55;59;194;Prov403;x
404;156;144;29;Prov404;x
405;167;181;127;Prov405;x
406;12;207;104;Prov406;x
407;12;84;93;Prov407;x
408;40;83;64;Prov408;x
409;169;178;232;Prov409;x
410;158;209;183;Prov410;x
411;198;44;142;Prov411;x
412;95;134;9;Prov412;x
413;90;232;104;Prov413;x
414;132;193;86;Prov414;x
415;96;9;216;Prov415;x
416;10;234;189;Prov416;x
417;129;72;103;Prov417;x
418;103;153;251;Prov418;x
419;24;65;86;Prov419;x
420;117;174;42;Prov420;x
421;130;255;32;Prov421;x
422;159;239;52;Prov422;x
423;212;200;57;Prov423;x
424;105;93;153;Prov424;x
425;216;64;116;Prov425;x
426;228;189;229;Prov426;x
427;230;4;211;Prov427;x
428;125;239;28;Prov428;x
429;83;195;232;Prov429;x
430;224;250;145;Prov430;x
431;226;255;124;Prov431;x
432;132;253;228;Prov432;x
433;112;231;66;Prov433;x
434;194;227;176;Prov434;x
435;54;241;225;Prov435;x
436;250;211;56;Prov436;x
437;193;73;221;Prov437;x
438;172;108;42;Prov438;x
439;212;30;43;Prov439;x
440;82;124;69;Prov440;x
441;89;26;116;Prov441;x
442;178;50;135;Prov442;x
443;214;22;175;Prov443;x
444;166;90;197;Prov444;x
445;88;78;245;Prov445;x
446;62;67;91;Prov446;x
447;88;230;202;Prov447;x
448;113;253;196;Prov448;x
449;23;23;37;Prov449;x
450;29;80;188;Prov450;x
451;249;94;14;Prov451;x
452;199;125;19;Prov452;x
453;224;26;243;Prov453;x
454;172;175;6;Prov454;x
455;212;245;60;Prov455;x
456;80;192;146;Prov456;x
457;94;93;112;Prov457;x
458;200;152;204;Prov458;x
459;122;84;253;Prov459;x
460;103;136;50;Prov460;x
461;162;245;139;Prov461;x
462;147;61;151;Prov462;x
463;88;60;206;Prov463;x
464;206;55;216;Prov464;x
465;129;11;210;Prov465;x
466;233;44;43;Prov466;x
467;136;116;145;Prov467;x
468;165;102;52;Prov468;x
469;141;78;203;Prov469;x
470;56;19;12;Prov470;x
471;92;47;39;Prov471;x
472;38;65;194;Prov472;x
473;186;33;169;Prov473;x
474;50;160;29;Prov474;x
475;162;56;199;Prov475;x
476;94;92;8;Prov476;x
477;2;200;97;Prov477;x
478;202;121;100;Prov478;x
479;96;252;11;Prov479;x
480;51;118;66;Prov480;x
481;86;27;243;Prov481;x
482;53;93;154;Prov482;x
483;247;210;238;Prov483;x
484;189;72;2;Prov484;x
485;189;254;221;Prov485;x
486;244;182;127;Prov486;x
487;112;232;139;Prov487;x
488;230;33;17;Prov488;x
489;68;158;190;Prov489;x
490;25;211;70;Prov490;x
491;214;88;60;Prov491;x
492;97;47;178;Prov492;x
493;186;249;64;Prov493;x
494;5;7;90;Prov494;x
495;2;71;156;Prov495;x
496;38;189;55;Prov496;x
497;158;171;151;Prov497;x
498;61;102;5;Prov498;x
499;215;109;116;Prov499;x
500;24;133;102;Prov500;x
501;123;132;42;Prov501;x
502;242;31;70;Prov502;x
503;15;20;236;Prov503;x
504;37;139;140;Prov504;x
505;150;107;255;Prov505;x
506;83;143;127;Prov506;x
507;113;120;212;Prov507;x
508;70;43;78;Prov508;x
509;166;88;195;Prov509;x
510;241;54;24;Prov510;x
511;232;133;84;Prov511;x
512;127;50;191;Prov512;x
513;22;212;109;Prov513;x
514;222;5;88;Prov514;x
515;228;85;132;Prov515;x
516;85;186;62;Prov516;x
517;104;229;185;Prov517;x
518;82;243;23;Prov518;x
519;159;189;162;Prov519;x
520;138;157;97;Prov520;x
521;190;31;160;Prov521;x
522;50;53;200;Prov522;x
523;92;92;146;Prov523;x
524;117;222;157;Prov524;x
525;226;134;76;Prov525;x
526;201;19;181;Prov526;x
527;67;173;221;Prov527;x
528;161;147;3;Prov528;x
529;213;32;25;Prov529;x
530;231;181;119;Prov530;x
531;199;242;111;Prov531;x
532;151;131;113;Prov532;x
533;193;243;45;Prov533;x
534;111;155;87;Prov534;x
535;96;51;229;Prov535;x
536;135;80;164;Prov536;x
537;253;139;62;Prov537;x
538;147;134;177;Prov538;x
539;101;174;212;Prov539;x
540;83;113;135;Prov540;x
541;157;195;234;Prov541;x
542;234;110;52;Prov542;x
543;220;184;84;Prov543;x
544;3;198;201;Prov544;x
545;11;174;157;Prov545;x
546;35;55;165;Prov546;x
547;175;230;243;Prov547;x
548;129;44;98;Prov548;x
549;196;64;225;Prov549;x
550;188;47;179;Prov550;x
551;159;167;132;Prov551;x
552;134;59;152;Prov552;x
553;47;25;201;Prov553;x
554;183;38;201;Prov554;x
555;56;233;15;Prov555;x
556;109;152;72;Prov556;x
557;2;129;73;Prov557;x
558;218;152;180;Prov558;x
559;90;134;156;Prov559;x
560;179;154;18;Prov560;x
561;4;70;7;Prov561;x
562;149;95;149;Prov562;x
563;21;131;155;Prov563;x
564;142;248;116;Prov564;x
565;128;1;157;Prov565;x
566;120;237;114;Prov566;x
567;200;223;51;Prov567;x
568;164;13;106;Prov568;x
569;43;182;131;Prov569;x
570;209;138;27;Prov570;x
571;238;147;58;Prov571;x
572;85;75;214;Prov572;x
573;223;62;166;Prov573;x
574;169;132;187;Prov574;x
575;207;125;80;Prov575;x
576;107;50;88;Prov576;x
577;151;17;197;Prov577;x
578;183;34;85;Prov578;x
579;222;218;130;Prov579;x
580;107;54;150;Prov580;x
581;11;34;221;Prov581;x
582;83;226;19;Prov582;x
583;170;112;207;Prov583;x
584;117;135;165;Prov584;x
585;31;102;223;Prov585;x
586;6;94;101;Prov586;x
587;178;239;210;Prov587;x
588;212;107;76;Prov588;x
589;114;133;239;Prov589;x
590;75;177;70;Prov590;x
591;101;188;164;Prov591;x
592;234;2;201;Prov592;x
593;21;183;30;Prov593;x
594;137;59;11;Prov594;x
595;170;33;201;Prov595;x
596;33;190;229;Prov596;x
597;108;180;75;Prov597;x
598;212;216;199;Prov598;x
599;98;32;105;Prov599;x
600;88;27;142;Prov600;x
601;41;37;95;Prov601;x
602;127;30;76;Prov602;x
603;246;127;143;Prov603;x
604;129;237;245;Prov604;x
605;35;153;172;Prov605;x
606;104;118;251;Prov606;x
607;139;4;20;Prov607;x
608;81;151;75;Prov608;x
609;211;53;121;Prov609;x
610;139;152;255;Prov610;x
611;223;63;216;Prov611;x
612;50;112;165;Prov612;x
613;67;226;195;Prov613;x
614;51;136;239;Prov614;x
615;194;218;15;Prov615;x
616;4;248;193;Prov616;x
617;37;88;162;Prov617;x
618;27;255;205;Prov618;x
619;218;32;64;Prov619;x
620;92;103;80;Prov620;x
621;201;22;164;Prov621;x
622;203;63;164;Prov622;x
623;16;106;251;Prov623;x
624;186;193;222;Prov624;x
625;220;117;117;Prov625;x
626;140;49;101;Prov626;x
627;78;38;240;Prov627;x
628;244;46;185;Prov628;x
629;12;246;140;Prov629;x
630;68;123;39;Prov630;x
631;29;178;103;Prov631;x
632;203;131;138;Prov632;x
633;169;176;131;Prov633;x
634;95;26;150;Prov634;x
635;230;55;154;Prov635;x
636;60;45;252;Prov636;x
637;248;2;135;Prov637;x
638;58;50;87;Prov638;x
639;199;16;139;Prov639;x
640;196;3;209;Prov640;x
641;198;70;103;Prov641;x
642;75;207;112;Prov642;x
643;151;161;44;Prov643;x
644;182;245;34;Prov644;x
645;91;157;97;Prov645;x
646;181;34;243;Prov646;x
647;92;90;143;Prov647;x
648;168;251;192;Prov648;x
649;151;117;7;Prov649;x
650;18;86;222;Prov650;x
651;245;1;61;Prov651;x
652;1;154;149;Prov652;x
653;40;155;35;Prov653;x
654;175;52;201;Prov654;x
655;148;19;215;Prov655;x
656;7;164;231;Prov656;x
657;172;80;51;Prov657;x
658;107;242;192;Prov658;x
659;122;162;28;Prov659;x
660;1;107;180;Prov660;x
661;75;67;160;Prov661;x
662;174;255;134;Prov662;x
663;133;76;214;Prov663;x
664;79;110;233;Prov664;x
665;164;188;73;Prov665;x
666;60;231;165;Prov666;x
667;105;254;218;Prov667;x
668;56;86;33;Prov668;x
669;182;213;37;Prov669;x
670;28;44;16;Prov670;x
671;154;57;236;Prov671;x
672;240;173;9;Prov672;x
673;171;89;247;Prov673;x
674;3;28;6;Prov674;x
675;117;210;188;Prov675;x
676;131;52;213;Prov676;x
677;216;13;87;Prov677;x
678;115;7;17;Prov678;x
679;250;152;49;Prov679;x
680;139;193;48;Prov680;x
681;144;48;44;Prov681;x
682;10;7;179;Prov682;x
683;248;44;86;Prov683;x
684;45;137;69;Prov684;x
685;107;69;240;Prov685;x
686;27;194;152;Prov686;x
687;92;31;255;Prov687;x
688;253;35;167;Prov688;x
689;105;132;122;Prov689;x
690;58;125;233;Prov690;x
691;35;140;209;Prov691;x
692;139;120;66;Prov692;x
693;85;222;191;Prov693;x
694;141;120;6;Prov694;x
695;148;71;252;Prov695;x
696;120;185;117;Prov696;x
697;184;243;38;Prov697;x
698;240;123;100;Prov698;x
699;11;147;161;Prov699;x
700;35;9;148;Prov700;x
701;242;194;197;Prov701;x
702;71;246;79;Prov702;x
703;188;183;149;Prov703;x
704;70;28;69;Prov704;x
705;105;49;145;Prov705;x
706;80;97;209;Prov706;x
707;115;41;46;Prov707;x
708;206;221;79;Prov708;x
709;113;102;119;Prov709;x
710;167;164;172;Prov710;x
711;87;221;91;Prov711;x
712;155;102;78;Prov712;x
713;39;94;222;Prov713;x
714;47;50;146;Prov714;x
715;137;99;21;Prov715;x
716;21;158;156;Prov716;x
717;195;155;36;Prov717;x
718;50;208;33;Prov718;x
719;189;32;80;Prov719;x
720;2;164;138;Prov720;x
721;100;179;145;Prov721;x
722;47;30;5;Prov722;x
723;210;82;229;Prov723;x
724;15;41;44;Prov724;x
725;9;156;149;Prov725;x
726;250;38;141;Prov726;x
727;159;207;82;Prov727;x
728;25;48;127;Prov728;x
729;15;200;159;Prov729;x
730;113;34;232;Prov730;x
731;145;145;230;Prov731;x
732;81;95;91;Prov732;x
733;188;100;148;Prov733;x
734;193;230;210;Prov734;x
735;172;154;65;Prov735;x
736;172;28;242;Prov736;x
737;77;58;145;Prov737;x
738;99;181;156;Prov738;x
739;176;204;162;Prov739;x
740;182;63;53;Prov740;x
741;125;11;247;Prov741;x
742;91;148;33;Prov742;x
743;241;230;154;Prov743;x
744;171;213;50;Prov744;x
745;107;142;122;Prov745;x
746;129;73;246;Prov746;x
747;97;184;131;Prov747;x
748;218;168;151;Prov748;x
749;127;220;44;Prov749;x
750;48;155;89;Prov750;x
751;39;161;230;Prov751;x
752;121;145;159;Prov752;x
753;207;174;178;Prov753;x
754;82;124;9;Prov754;x
755;233;182;242;Prov755;x
756;218;159;42;Prov756;x
757;182;190;228;Prov757;x
758;60;123;208;Prov758;x
759;106;151;213;Prov759;x
760;214;79;138;Prov760;x
761;30;243;212;Prov761;x
762;209;70;152;Prov762;x
763;11;160;66;Prov763;x
764;200;227;219;Prov764;x
765;217;81;108;Prov765;x
766;231;114;251;Prov766;x
767;69;75;143;Prov767;x
768;157;99;25;Prov768;x
769;180;220;105;Prov769;x
770;54;135;125;Prov770;x
771;126;103;227;Prov771;x
772;218;253;40;Prov772;x
773;112;162;59;Prov773;x
774;224;139;144;Prov774;x
775;202;85;108;Prov775;x
776;248;96;75;Prov776;x
777;26;114;28;Prov777;x
778;105;218;142;Prov778;x
779;101;143;162;Prov779;x
780;252;145;41;Prov780;x
781;11;113;228;Prov781;x
782;146;223;173;Prov782;x
783;222;108;36;Prov783;x
784;212;16;134;Prov784;x
785;199;185;243;Prov785;x
786;13;109;108;Prov786;x
787;127;36;187;Prov787;x
788;169;81;177;Prov788;x
789;111;155;108;Prov789;x
790;10;166;172;Prov790;x
791;225;201;250;Prov791;x
792;42;239;32;Prov792;x
793;182;201;34;Prov793;x
794;77;130;90;Prov794;x
795;97;28;46;Prov795;x
796;205;191;232;Prov796;x
797;180;19;92;Prov797;x
798;132;102;187;Prov798;x
799;40;119;156;Prov799;x
800;12;164;88;Prov800;x
801;10;30;5;Prov801;x
802;44;142;62;Prov802;x
803;165;81;169;Prov803;x
804;60;70;118;Prov804;x
805;112;9;42;Prov805;x
806;208;184;64;Prov806;x
807;146;29;186;Prov807;x
808;115;189;115;Prov808;x
809;213;248;223;Prov809;x
810;226;203;200;Prov810;x
811;110;98;122;Prov811;x
812;108;62;249;Prov812;x
813;157;114;208;Prov813;x
814;233;117;29;Prov814;x
815;26;208;29;Prov815;x
816;143;30;70;Prov816;x
817;148;176;59;Prov817;x
818;122;96;80;Prov818;x
819;219;220;60;Prov819;x
820;77;59;243;Prov820;x
821;139;231;19;Prov821;x
822;87;107;194;Prov822;x
823;149;188;151;Prov823;x
824;244;87;20;Prov824;x
825;206;93;6;Prov825;x
826;172;196;118;Prov826;x
827;210;187;91;Prov827;x
828;124;157;21;Prov828;x
829;113;171;160;Prov829;x
830;142;2;248;Prov830;x
831;71;28;134;Prov831;x
832;64;33;159;Prov832;x
833;72;127;217;Prov833;x
834;127;54;249;Prov834;x
835;12;80;126;Prov835;x
836;59;6;81;Prov836;x
837;97;145;107;Prov837;x
838;254;45;32;Prov838;x
839;204;5;139;Prov839;x
840;49;171;183;Prov840;x
841;125;171;203;Prov841;x
842;71;62;63;Prov842;x
843;11;242;144;Prov843;x
844;69;186;134;Prov844;x
845;139;87;84;Prov845;x
846;101;110;242;Prov846;x
847;207;23;185;Prov847;x
848;106;193;43;Prov848;x
849;252;253;174;Prov849;x
850;205;13;55;Prov850;x
851;254;40;193;Prov851;x
852;205;7;139;Prov852;x
853;232;22;188;Prov853;x
854;216;189;50;Prov854;x
855;182;132;228;Prov855;x
856;204;157;23;Prov856;x
857;59;95;214;Prov857;x
858;112;11;103;Prov858;x
859;247;198;4;Prov859;x
860;199;121;123;Prov860;x
861;37;196;210;Prov861;x
862;245;84;24;Prov862;x
863;124;163;42;Prov863;x
864;176;126;161;Prov864;x
865;114;118;164;Prov865;x
866;93;189;37;Prov866;x
867;185;252;69;Prov867;x
868;195;10;57;Prov868;x
869;128;233;11;Prov869;x
870;140;235;126;Prov870;x
871;113;62;169;Prov871;x
872;60;236;130;Prov872;x
873;161;13;96;Prov873;x
874;104;210;171;Prov874;x
875;24;3;255;Prov875;x
876;70;167;99;Prov876;x
877;57;248;186;Prov877;x
878;168;90;85;Prov878;x
879;234;7;165;Prov879;x
880;127;170;102;Prov880;x
881;103;252;107;Prov881;x
882;109;185;106;Prov882;x
883;65;9;34;Prov883;x
884;58;117;22;Prov884;x
885;197;194;116;Prov885;x
886;188;79;209;Prov886;x
887;179;107;31;Prov887;x
888;221;157;19;Prov888;x
889;85;176;148;Prov889;x
890;22;133;182;Prov890;x
891;102;221;239;Prov891;x
892;140;104;177;Prov892;x
893;103;126;90;Prov893;x
894;149;30;100;Prov894;x
895;76;37;140;Prov895;x
896;67;14;129;Prov896;x
897;5;61;103;Prov897;x
898;205;159;35;Prov898;x
899;4;108;5;Prov899;x
900;217;65;148;Prov900;x
901;185;230;210;Prov901;x
902;232;66;202;Prov902;x
903;196;49;7;Prov903;x
904;70;63;138;Prov904;x
905;218;107;89;Prov905;x
906;132;27;227;Prov906;x
907;251;152;149;Prov907;x
908;218;3;180;Prov908;x
909;133;22;65;Prov909;x
910;179;232;222;Prov910;x
911;153;130;110;Prov911;x
912;10;95;19;Prov912;x
913;147;209;138;Prov913;x
914;242;137;116;Prov914;x
915;107;197;68;Prov915;x
916;24;212;54;Prov916;x
917;48;199;245;Prov917;x
918;108;197;226;Prov918;x
919;169;155;162;Prov919;x
920;238;236;239;Prov920;x
921;7;190;193;Prov921;x
922;121;255;6;Prov922;x
923;73;133;75;Prov923;x
924;131;222;91;Prov924;x
925;20;54;137;Prov925;x
926;61;232;85;Prov926;x
927;56;75;223;Prov927;x
928;194;22;4;Prov928;x
929;11;215;133;Prov929;x
930;190;27;18;Prov930;x
931;118;60;26;Prov931;x
